srno,business_name,pan,gstin,tan,cin,udyam_registration_no,pin_code,district,state,city,address_line1,address_line2,landmark,activity_date,registration_date,commencement_date,last_return_filed_date,source_status,gstin_status,sector,industry_category,nic_code,constitution_type,authorized_capital_inr,paid_up_capital_inr,annual_turnover_inr,employee_count,msme_category,proprietor_owner_name,mobile_no,email_id,bank_name,bank_account_no,ifsc_code,bank_branch,gst_return_type,last_gstr1_filed,last_gstr3b_filed,pending_tax_inr,tds_deductor,epfo_registered,esic_registered,import_export_code,fssai_license_no,drug_license_no,pollution_noc,fire_noc,trade_license_no,ward_no,zone,taluka,tehsil,assembly_constituency,lok_sabha_constituency,latitude,longitude,remarks
11,Kerala Spices Exports,CDEFG3456I,32CDEFG3456I1Z9,COCH34567K,U01400KL2000PTC678901,UDYAM-KL-07-0098123,682016,Ernakulam,Kerala,Kochi,XX/1234 Chittoor Road,Ernakulam South,,2023-12-01,2000-09-01,2001-01-01,2024-03-31,Active,Active,Spices Export,Trade,4620,Private Limited Company,15000000,10000000,87000000,65,Small,Thomas Varghese,9847012345,info@keralaspices.com,Federal Bank,11023400012345,FDRL0001102,Ernakulam Branch,GSTR-1 & 3B,2024-03-11,2024-03-20,0,Yes,Yes,Yes,0832112345,10010011000678,,Yes,Yes,TL/2000/EKM/001123,18,Central Zone,Ernakulam,Ernakulam,Ernakulam Central,Ernakulam,9.9312,76.2673,Spices Board certified exporter
12,Jain Jewellers,EFGHI4567J,08EFGHI4567J1Z7,JAIJ45678J,,,302001,Jaipur,Rajasthan,Jaipur,Johri Bazaar,Near Hawa Mahal,,2023-04-15,1998-03-01,1998-04-01,2024-03-31,Active,Active,Jewellery Retail,Trade,4773,Proprietorship,3000000,3000000,55000000,12,Small,Mahavir Jain,9829012345,jainjewellers@hotmail.com,Bank of Rajasthan,6000123456,RATN0000012,Johri Bazaar,GSTR-1 & 3B,2024-03-11,2024-03-20,0,No,No,No,,,,,No,TL/1998/JPR/000345,4,Walled City Zone,Jaipur,Jaipur,Hawa Mahal,Jaipur,26.9239,75.8267,Hallmarking centre registered
13,Mukherjee IT Solutions,GHIJK5678K,19GHIJK5678K1Z5,CALG56789M,U72200WB2014PTC789012,UDYAM-WB-09-0056789,700016,Kolkata,West Bengal,Kolkata,2/5 Sarat Bose Road,Block B 3rd Floor,,2024-02-10,2014-06-15,2014-08-01,2024-03-31,Active,Active,IT Services,Services,6201,Private Limited Company,2000000,2000000,12000000,35,Small,Debashish Mukherjee,9830012345,info@mukherjee-it.com,Axis Bank,915010012345678,UTIB0001234,Park Street Branch,GSTR-1 & 3B,2024-03-11,2024-03-20,0,Yes,Yes,No,0419078901,,,No,Yes,TL/2014/KOL/023456,64,South Zone,Kolkata South,Kolkata South,Ballygunge,Kolkata Dakshin,22.5200,88.3468,NASSCOM member
14,Verma Steel Rolling Mill,IJKLM6789L,22IJKLM6789L1Z3,RAIPU78901V,U27310CT2001PTC890123,UDYAM-CT-10-0167890,492001,Raipur,Chhattisgarh,Raipur,Industrial Area Phase 2 Siltara,,Near Siltara Police Chowki,2022-09-20,2001-11-30,2002-02-01,2023-12-31,Active,Active,Steel Rolling,Manufacturing,2410,Private Limited Company,20000000,12000000,76000000,210,Medium,Sunil Verma,9826012345,verma.steel@yahoo.com,Central Bank of India,3456789012345,CBIN0283456,Siltara Branch,GSTR-1 & 3B,2024-01-11,2024-01-18,0,Yes,Yes,Yes,,,,,Yes,TL/2001/RPR/009012,22,North Zone,Raipur,Raipur,Raipur Rural,Raipur,21.2514,81.6296,CPCB pollution NOC valid 2026
15,Iyer Hotels Pvt Ltd,KLMNO7890M,33KLMNO7890M1Z1,CHEK89012I,U55101TN2007PTC901234,,530045,Chennai,Tamil Nadu,Chennai,No 12 Cathedral Road,Gopalapuram,,2023-11-05,2007-03-22,2007-07-01,2024-03-31,Active,Active,Hospitality,Services,5510,Private Limited Company,30000000,20000000,95000000,310,Medium,Srinivasan Iyer,9444012345,reservations@iyerhotels.com,Indian Overseas Bank,020300123456789,IOBA0000203,Cathedral Road,GSTR-1 & 3B,2024-03-11,2024-03-20,0,Yes,Yes,Yes,,12419001000567,,Yes,Yes,TL/2007/CHE/056789,108,South Zone,Chennai South,Mylapore,Mylapore,Chennai South,13.0475,80.2590,4-star hotel - Tourism dept approved
16,Khan Food Products,MNOPQ8901N,09MNOPQ8901N1Z9,JAMK90123K,U15100JK2019PTC012345,UDYAM-JK-11-0023456,180001,Jammu,Jammu & Kashmir,Jammu,Ward 12 Gandhi Nagar,Behind Bahu Fort,,2023-06-18,2019-08-05,2019-10-01,2024-03-31,Active,Active,Food Processing,Manufacturing,1079,Proprietorship,1000000,1000000,6800000,14,Micro,Imran Khan,7006012345,imrankhan.foods@gmail.com,J&K Bank,0041012345678,JAKA0GANDHI,Gandhi Nagar Branch,GSTR-1 & 3B,2024-03-11,2024-03-20,0,No,Yes,No,,10016012000123,,No,No,TL/2019/JAM/012345,12,North Zone,Jammu,Jammu,Gandhi Nagar,Jammu Tawi,32.7266,74.8570,FSSAI license valid till 2026-07-31
17,Reddy Seeds Corporation,OPQRS9012O,28OPQRS9012O1Z7,VIZR01234R,U01400AP2003PTC123456,UDYAM-AP-12-0145678,530020,Visakhapatnam,Andhra Pradesh,Visakhapatnam,D.No 47-11-5 Diamond Park,Dwaraka Nagar,,2022-07-25,2003-05-12,2003-08-01,2023-09-30,Active,Active,Seeds & Agriculture,Trade,4620,Private Limited Company,12000000,8000000,58000000,88,Small,Prasad Reddy,9848098765,reddyseeds@reddyseeds.in,Andhra Bank,062900123456,ANDB0000629,Dwaraka Nagar,GSTR-1 & 3B,2023-10-11,2023-10-18,0,Yes,Yes,Yes,0836123456,,,Yes,Yes,TL/2003/VSP/045678,30,East Zone,Visakhapatnam East,Bheemunipatnam,Gajuwaka,Visakhapatnam,17.7384,83.2165,Seeds Act registration valid
18,Desai Auto Spares,QRSTU0123P,24QRSTU0123P1Z5,SURD12345D,U50300GJ2011PTC234567,UDYAM-GJ-04-0067890,395003,Surat,Gujarat,Surat,G-12 Ring Road Industrial Estate,Udhna,,2023-09-08,2011-01-25,2011-03-01,2024-03-31,Active,Active,Auto Spare Parts,Trade,4530,Partnership,3000000,3000000,21000000,28,Small,Haresh Desai,9824012345,desaiauto@gmail.com,HDFC Bank,50100987654321,HDFC0001395,Udhna Branch,GSTR-1 & 3B,2024-03-11,2024-03-20,0,No,Yes,No,0724567890,,,No,Yes,TL/2011/SRT/078901,17,South Zone,Surat South,Udhna,Udhna,Surat South,21.1702,72.8311,Authorised distributor - Bosch India
19,Nair Rubber Products,STUVW1234Q,32STUVW1234Q1Z3,TRIV23456N,U25200KL2006PTC345678,UDYAM-KL-07-0112345,695014,Thiruvananthapuram,Kerala,Thiruvananthapuram,TC 14/2156 Thycaud PO,Near Secretariat,,2023-03-17,2006-09-30,2007-01-01,2024-03-31,Active,Active,Rubber Products,Manufacturing,2219,Private Limited Company,6000000,4000000,27500000,72,Small,Biju Nair,9847098765,nairrubber@nairrubber.com,South Indian Bank,0680073001234567,SIBL0000680,Thycaud Branch,GSTR-1 & 3B,2024-03-11,2024-03-20,0,Yes,Yes,Yes,0832345678,,,Yes,Yes,TL/2006/TVM/023456,7,Central Zone,Thiruvananthapuram,Thiruvananthapuram,Thiruvananthapuram Central,Thiruvananthapuram,8.5241,76.9366,NSIC registered
20,Bose Electronics,UVWXY2345R,19UVWXY2345R1Z1,CALL34567B,U32100WB2016PTC456789,UDYAM-WB-09-0089012,700064,North 24 Parganas,West Bengal,Kolkata,BD 45 Sector I Salt Lake,,Near Nalban,2023-10-30,2016-12-01,2017-02-01,2024-03-31,Active,Active,Electronics Manufacturing,Manufacturing,2610,Private Limited Company,5000000,4000000,19000000,55,Small,Arnab Bose,9830098765,info@boseelectronics.in,UCO Bank,00790020012345,UCBA0000079,Salt Lake Branch,GSTR-1 & 3B,2024-03-11,2024-03-20,0,Yes,Yes,Yes,0419123456,,,Yes,Yes,TL/2016/KOL/056789,67,East Zone,Bidhannagar,Bidhannagar,Bidhannagar,Dum Dum,22.5720,88.4144,BIS certification pending renewal
21,Choudhary Cotton Mills,WXYZB3456S,08WXYZB3456S1Z9,BIKC45678C,U17100RJ1994PTC567890,UDYAM-RJ-08-0201234,305001,Ajmer,Rajasthan,Ajmer,Nasirabad Road Industrial Area,Plot No 34,,2022-05-12,1994-02-14,1994-05-01,2023-12-31,Active,Active,Cotton Textile,Manufacturing,1311,Private Limited Company,25000000,18000000,112000000,450,Medium,Ramchandra Choudhary,9829098765,choudhary.mills@hotmail.com,State Bank of India,30123456789,SBIN0003270,Ajmer Branch,GSTR-1 & 3B,2024-01-11,2024-01-18,0,Yes,Yes,Yes,,,,,Yes,TL/1994/AJM/000567,5,Central Zone,Ajmer,Ajmer,Ajmer North,Ajmer,26.4499,74.6399,TUFS subsidy beneficiary
22,Pillai Coconut Oil,XYZBC4567T,32XYZBC4567T1Z7,PALG56789P,U15141KL1987PTC678901,UDYAM-KL-07-0056123,689001,Pathanamthitta,Kerala,Pathanamthitta,KP Road Pandalam,,Near KSR Bus Stand,2023-01-22,1987-06-10,1987-09-01,2024-03-31,Active,Active,Coconut Oil Manufacturing,Manufacturing,1040,Private Limited Company,8000000,5000000,34000000,68,Small,Suresh Pillai,9447012345,pillaicoconutoil@yahoo.com,Kerala Gramin Bank,70045678901,KLGB0040100,Pandalam Branch,GSTR-1 & 3B,2024-03-11,2024-03-20,0,No,Yes,Yes,,10013001000234,,No,Yes,TL/1987/PTA/000123,3,South Zone,Pathanamthitta,Kozhencherry,Thiruvalla,Pathanamthitta,9.2648,76.7870,AGMARK certified
23,Mishra Brick Factory,YZABC5678U,10YZABC5678U1Z5,BHUP67890M,,,560099,Bhubaneswar,Odisha,Bhubaneswar,Mouza Bhagabanpur,Near NH-16,,2022-03-05,2009-07-14,2009-09-01,2023-06-30,Irregular,Suspended,Brick & Tiles,Manufacturing,2394,Proprietorship,800000,800000,4500000,30,Micro,Ramakanta Mishra,9437012345,,,9876543210123,UTBI0001234,Bhubaneswar,GSTR-1 & 3B,2023-04-11,2023-04-18,89600,No,No,No,,,,,No,TL/2009/BBS/012345,11,North Zone,Bhubaneswar North,Bhubaneswar,Bhubaneswar Central,Bhubaneswar,20.2961,85.8245,Suspended - non-filing of returns
24,Senthil Garments,ABCDE6789V,33ABCDE6789V1Z3,COIM78901S,U18101TN2013PTC789012,UDYAM-TN-13-0178901,641018,Coimbatore,Tamil Nadu,Coimbatore,SF No 234 Avinashi Road,Peelamedu,,2023-08-11,2013-04-01,2013-06-01,2024-03-31,Active,Active,Garment Manufacturing,Manufacturing,1410,Private Limited Company,4000000,3000000,22000000,145,Small,Senthil Kumar,9944012345,senthilgarments@gmail.com,Indian Bank,6341999012345,IDIB000C054,Peelamedu Branch,GSTR-1 & 3B,2024-03-11,2024-03-20,0,Yes,Yes,Yes,0424123456,,,Yes,Yes,TL/2013/CBE/034567,41,West Zone,Coimbatore West,Kinathukadavu,Coimbatore North,Coimbatore,11.0168,76.9558,Tirupur Exporters Association member
25,Gupta Cold Storage,BCDEF7890W,09BCDEF7890W1Z1,LUCK89012G,U63023UP2010PTC890123,UDYAM-UP-14-0234567,226001,Lucknow,Uttar Pradesh,Lucknow,Sector C Mahanagar,Near Nishatganj,,2023-02-28,2010-10-10,2011-01-01,2024-03-31,Active,Active,Cold Storage & Logistics,Services,5210,Private Limited Company,12000000,10000000,18000000,40,Small,Anil Gupta,9839012345,guptacoldstorage@gmail.com,Bank of India,6789012345678,BKID0008009,Mahanagar Branch,GSTR-1 & 3B,2024-03-11,2024-03-20,0,No,Yes,Yes,,,,,Yes,TL/2010/LKO/078901,28,Central Zone,Lucknow,Lucknow,Lucknow West,Lucknow,26.8467,80.9462,NHB accredited cold chain operator
26,Tripathi Ayurveda,CDEFG8901X,07CDEFG8901X1Z9,DELC90123T,U24232DL2017PTC901234,UDYAM-DL-15-0056789,110092,East Delhi,Delhi,New Delhi,C-34 Preet Vihar,,Near Preet Vihar Metro,2023-05-20,2017-03-15,2017-06-01,2024-03-31,Active,Active,Ayurvedic Products,Manufacturing,2100,Private Limited Company,3000000,2000000,14000000,28,Small,Shyam Tripathi,9811012345,tripathi.ayurveda@gmail.com,Yes Bank,9012345678901,YESB0000901,Preet Vihar Branch,GSTR-1 & 3B,2024-03-11,2024-03-20,0,No,Yes,No,,10013001000789,DL/AYU/2017/1234,Yes,Yes,TL/2017/DL/056789,56,East Zone,Delhi East,Delhi East,Vishwas Nagar,East Delhi,28.6419,77.3006,AYUSH Ministry certified
27,Hegde Cashew Exports,DEFGH9012Y,29DEFGH9012Y1Z7,MANG01234H,U01400KA2002PTC012345,UDYAM-KA-01-0289012,575001,Dakshina Kannada,Karnataka,Mangaluru,Balmatta Road Kankanady,Near Lalbagh,,2022-10-08,2002-08-20,2002-11-01,2023-12-31,Active,Active,Cashew Processing & Export,Manufacturing,1040,Private Limited Company,18000000,12000000,95000000,280,Medium,Mohan Hegde,9845098765,hegdecashew@hegdecashew.com,Karnataka Bank,1234500000012345,KARB0000535,Kankanady Branch,GSTR-1 & 3B,2024-01-11,2024-01-18,0,Yes,Yes,Yes,0824012345,,,Yes,Yes,TL/2002/MNG/001234,8,South Zone,Mangaluru South,Mangaluru,Mangaluru City South,Dakshina Kannada,12.8698,74.8428,APEDA exporter - cashew
28,Rao Diagnostics,EFGHI0123Z,36EFGHI0123Z1Z5,HYDD12345R,U85100TG2015PTC123456,,500082,Medchal-Malkajgiri,Telangana,Hyderabad,Plot 45 ECIL X Road,Kushaiguda,,2023-12-12,2015-09-01,2015-11-01,2024-03-31,Active,Active,Diagnostics & Pathology,Services,8621,Private Limited Company,5000000,3000000,11000000,45,Small,Subhash Rao,9848123456,raodiag@raodiag.com,Karur Vysya Bank,1234567890123456,KVBL0001234,ECIL Branch,GSTR-1 & 3B,2024-03-11,2024-03-20,0,No,Yes,No,,,,No,Yes,TL/2015/HYD/067890,72,East Zone,Malkajgiri,Medchal,Malkajgiri,Secunderabad,17.4850,78.5533,NABL accredited laboratory
29,Chauhan Flour Mill,FGHIJ1234A,20FGHIJ1234A1Z3,PATN23456C,,,800001,Patna,Bihar,Patna,Mithapur Industrial Area,Plot 7B,,2021-08-30,2003-12-01,2004-03-01,2023-03-31,Irregular,Active,Flour Mill,Manufacturing,1061,Proprietorship,1500000,1500000,8900000,22,Micro,Dinesh Chauhan,9934012345,,,3210012345678,UCBA0000321,Mithapur Branch,GSTR-3B only,2023-03-18,,21500,No,Yes,No,,10016012000456,,No,No,TL/2003/PAT/023456,9,Central Zone,Patna Sahib,Patna,Bankipore,Patna Sahib,25.5941,85.1376,GSTR-1 not filed since Apr 2023
30,Saxena Plastic Industries,GHIJK2345B,09GHIJK2345B1Z1,AGRS34567S,U25209UP2009PTC234567,UDYAM-UP-14-0312345,282001,Agra,Uttar Pradesh,Agra,Runakta Industrial Area,Phase 3 Plot 12,,2022-12-15,2009-05-18,2009-08-01,2024-03-31,Active,Active,Plastic Products,Manufacturing,2220,Private Limited Company,4000000,3000000,18500000,65,Small,Ramesh Saxena,9897012345,saxenaplastics@gmail.com,Allahabad Bank,5555012345678,ALLA0210555,Runakta Branch,GSTR-1 & 3B,2024-03-11,2024-03-20,0,No,Yes,Yes,,,,,Yes,TL/2009/AGR/045678,18,South Zone,Agra South,Agra,Agra Cantt,Agra,27.1767,78.0081,PCB NOC renewed 2024
31,Fernandes Fisheries,HIJKL3456C,30HIJKL3456C1Z9,GOAF45678F,U05000GA2001PTC345678,UDYAM-GA-16-0023456,403001,North Goa,Goa,Panaji,Plot 12 Panaji Harbour,Miramar,,2023-07-07,2001-04-30,2001-07-01,2024-03-31,Active,Active,Fish Processing & Export,Manufacturing,1020,Private Limited Company,10000000,7000000,62000000,95,Small,Antonio Fernandes,9823012345,fernandes.fish@gmail.com,Bank of Maharashtra,60049012345678,MAHB0000600,Panaji Branch,GSTR-1 & 3B,2024-03-11,2024-03-20,0,Yes,Yes,Yes,0832456789,10011001000123,,Yes,Yes,TL/2001/PNJ/012345,2,North Zone,Panaji,Tiswadi,Panaji,North Goa,15.4989,73.8278,Marine Products Export Development Authority registered
32,Joshi Computer Academy,IJKLM4567D,27IJKLM4567D1Z7,PUNS56789J,U80900MH2012PTC456789,,411001,Pune,Maharashtra,Pune,FC Road Shivajinagar,Near Ferguson College,,2023-04-04,2012-11-10,2013-01-01,2024-03-31,Active,Active,Education & Training,Services,8542,Private Limited Company,1000000,1000000,7800000,18,Micro,Prashant Joshi,9881012345,info@joshiacademy.com,Cosmos Bank,123000012345,COSB0000043,Shivajinagar Branch,GSTR-1 & 3B,2024-03-11,2024-03-20,0,No,No,No,,,,,No,TL/2012/PUN/078901,30,West Zone,Pune City,Pune,Shivajinagar,Pune,18.5195,73.8553,DOEACC O Level authorized centre
33,Lal Marble & Granite,JKLMN5678E,08JKLMN5678E1Z5,KISN67890L,U14200RJ2007PTC567890,UDYAM-RJ-08-0389012,301001,Alwar,Rajasthan,Alwar,Tijara Road Industrial Area,Block C,,2022-06-20,2007-02-22,2007-05-01,2023-09-30,Active,Active,Stone Processing,Manufacturing,2396,Private Limited Company,15000000,10000000,68000000,120,Small,Satish Lal,9829123456,lalmarble@yahoo.com,Rajasthan Marudhara Gramin Bank,70098765432,RMGB0000701,Alwar Branch,GSTR-1 & 3B,2023-10-11,2023-10-18,0,Yes,Yes,Yes,,,,,Yes,TL/2007/ALW/023456,7,North Zone,Alwar,Alwar,Alwar,Alwar,27.5530,76.6346,Rajasthan Stone Quarry lease holder
34,Mathur Rice Mill,KLMNO6789F,20KLMNO6789F1Z3,MUZM78901M,,,842001,Muzaffarpur,Bihar,Muzaffarpur,Brahmpura Ward 4,,Near Muzaffarpur Railway Station,2021-04-18,2006-01-01,2006-03-01,2022-09-30,Irregular,Active,Rice Milling,Manufacturing,1061,Proprietorship,2000000,2000000,11000000,35,Small,Vijay Mathur,9934123456,,State Bank of India,32200345678,SBIN0003220,Muzaffarpur Branch,GSTR-3B only,2022-09-18,,67800,No,No,No,,10016012000789,,No,No,TL/2006/MUZ/012345,4,East Zone,Muzaffarpur,Muzaffarpur,Muzaffarpur,Muzaffarpur,26.1209,85.3647,Long-pending return compliance issue
35,Nayak Poultry Farm,LMNOP7890G,21LMNOP7890G1Z1,BHUP89012N,,,751001,Khordha,Odisha,Bhubaneswar,Mouza Tamando NH-16,,Near Tamando Chowk,2023-09-14,2014-08-08,2014-10-01,2024-03-31,Active,Active,Poultry Farming,Agriculture,0146,Proprietorship,500000,500000,3800000,12,Micro,Satyajit Nayak,9437123456,nayakpoultry@gmail.com,UCO Bank,00790034567,UCBA0000079,Bhubaneswar Branch,GSTR-3B only,2024-03-18,,0,No,No,No,,10018001000234,,No,No,TL/2014/BBS/056789,15,South Zone,Bhubaneswar South,Bhubaneswar,Ekamra-Bhubaneswar,Bhubaneswar,20.2137,85.8312,Odisha Poultry Federation member
36,Oberoi Paper Products,MNOPQ8901H,06MNOPQ8901H1Z9,HARY90123O,U21098HR2008PTC678901,UDYAM-HR-17-0156789,121001,Faridabad,Haryana,Faridabad,NH-2 Sector 24 Industrial Area,,,2023-11-22,2008-04-15,2008-07-01,2024-03-31,Active,Active,Paper Products,Manufacturing,1702,Private Limited Company,6000000,4500000,28000000,78,Small,Rakesh Oberoi,9818012345,oberoipaper@gmail.com,Oriental Bank of Commerce,9876540012345,ORBC0100987,Faridabad Branch,GSTR-1 & 3B,2024-03-11,2024-03-20,0,Yes,Yes,Yes,,,,,Yes,TL/2008/FBD/023456,24,Central Zone,Faridabad,Faridabad,Faridabad,Faridabad,28.4089,77.3178,Forest dept clearance for paper pulp
37,Pillai Printing Press,NOPQR9012I,32NOPQR9012I1Z7,TRIV01234P,U22100KL2001PTC789012,UDYAM-KL-07-0234567,695001,Thiruvananthapuram,Kerala,Thiruvananthapuram,MG Road Palayam,,Near Secretariat Jn,2023-01-30,2001-07-01,2001-10-01,2024-03-31,Active,Active,Printing & Publishing,Manufacturing,1811,Partnership,3000000,3000000,16000000,32,Small,George Pillai,9447123456,pillaipress@gmail.com,Dhanlaxmi Bank,071000012345678,DLXB0000071,Palayam Branch,GSTR-1 & 3B,2024-03-11,2024-03-20,0,No,Yes,No,,,,,No,TL/2001/TVM/034567,2,Central Zone,Thiruvananthapuram,Thiruvananthapuram,Thiruvananthapuram,Thiruvananthapuram,8.4855,76.9492,ISO 9001:2015 certified
